state,county,candidate,party,votes,won
Delaware,Kent  ,John Carney,DEM,44352,TRUE
Delaware,Kent  ,Julianne Murray,REP,39332,FALSE
Delaware,Kent  ,Kathy DeMatteis,IPD,1115,FALSE
Delaware,Kent  ,John Machurek,LIB,616,FALSE
Delaware,New Castle  ,John Carney,DEM,191678,TRUE
Delaware,New Castle  ,Julianne Murray,REP,82545,FALSE
Delaware,New Castle  ,Kathy DeMatteis,IPD,3785,FALSE
Delaware,New Castle  ,John Machurek,LIB,2031,FALSE
Delaware,Sussex  ,Julianne Murray,REP,68435,TRUE
Delaware,Sussex  ,John Carney,DEM,56873,FALSE
Delaware,Sussex  ,Kathy DeMatteis,IPD,1250,FALSE
Delaware,Sussex  ,John Machurek,LIB,623,FALSE
Indiana,Adams  ,Eric Holcomb,REP,9441,TRUE
Indiana,Adams  ,Donald Rainwater,LIB,2570,FALSE
Indiana,Adams  ,Woody Myers,DEM,2143,FALSE
Indiana,Allen  ,Eric Holcomb,REP,98406,TRUE
Indiana,Allen  ,Woody Myers,DEM,53895,FALSE
Indiana,Allen  ,Donald Rainwater,LIB,16011,FALSE
Indiana,Bartholomew  ,Eric Holcomb,REP,21959,TRUE
Indiana,Bartholomew  ,Woody Myers,DEM,9013,FALSE
Indiana,Bartholomew  ,Donald Rainwater,LIB,5065,FALSE
Indiana,Benton  ,Eric Holcomb,REP,2815,TRUE
Indiana,Benton  ,Woody Myers,DEM,671,FALSE
Indiana,Benton  ,Donald Rainwater,LIB,614,FALSE
Indiana,Blackford  ,Eric Holcomb,REP,3333,TRUE
Indiana,Blackford  ,Donald Rainwater,LIB,1017,FALSE
Indiana,Blackford  ,Woody Myers,DEM,933,FALSE
Indiana,Boone  ,Eric Holcomb,REP,23737,TRUE
Indiana,Boone  ,Woody Myers,DEM,9661,FALSE
Indiana,Boone  ,Donald Rainwater,LIB,5094,FALSE
Indiana,Brown  ,Eric Holcomb,REP,4953,TRUE
Indiana,Brown  ,Woody Myers,DEM,2381,FALSE
Indiana,Brown  ,Donald Rainwater,LIB,1623,FALSE
Indiana,Carroll  ,Eric Holcomb,REP,6077,TRUE
Indiana,Carroll  ,Donald Rainwater,LIB,1864,FALSE
Indiana,Carroll  ,Woody Myers,DEM,1569,FALSE
Indiana,Cass  ,Eric Holcomb,REP,8833,TRUE
Indiana,Cass  ,Woody Myers,DEM,3373,FALSE
Indiana,Cass  ,Donald Rainwater,LIB,2940,FALSE
Indiana,Clark  ,Eric Holcomb,REP,34669,TRUE
Indiana,Clark  ,Woody Myers,DEM,19077,FALSE
Indiana,Clark  ,Donald Rainwater,LIB,3680,FALSE
Indiana,Clay  ,Eric Holcomb,REP,8164,TRUE
Indiana,Clay  ,Donald Rainwater,LIB,2242,FALSE
Indiana,Clay  ,Woody Myers,DEM,1780,FALSE
Indiana,Clinton  ,Eric Holcomb,REP,7971,TRUE
Indiana,Clinton  ,Donald Rainwater,LIB,2514,FALSE
Indiana,Clinton  ,Woody Myers,DEM,2406,FALSE
Indiana,Crawford  ,Eric Holcomb,REP,3080,TRUE
Indiana,Crawford  ,Woody Myers,DEM,1256,FALSE
Indiana,Crawford  ,Donald Rainwater,LIB,555,FALSE
Indiana,Daviess  ,Eric Holcomb,REP,8313,TRUE
Indiana,Daviess  ,Donald Rainwater,LIB,2016,FALSE
Indiana,Daviess  ,Woody Myers,DEM,1531,FALSE
Indiana,Dearborn  ,Eric Holcomb,REP,18353,TRUE
Indiana,Dearborn  ,Woody Myers,DEM,4559,FALSE
Indiana,Dearborn  ,Donald Rainwater,LIB,2383,FALSE
Indiana,Decatur  ,Eric Holcomb,REP,7911,TRUE
Indiana,Decatur  ,Donald Rainwater,LIB,2787,FALSE
Indiana,Decatur  ,Woody Myers,DEM,1562,FALSE
Indiana,DeKalb  ,Eric Holcomb,REP,13042,TRUE
Indiana,DeKalb  ,Woody Myers,DEM,3293,FALSE
Indiana,DeKalb  ,Donald Rainwater,LIB,3158,FALSE
Indiana,Delaware  ,Eric Holcomb,REP,26829,TRUE
