stat_cd,state,county,current_votes,total_votes,percent
AL,Delaware,Kent,85415,87025,100
AL,Delaware,New Castle,280039,287633,100
AL,Delaware,Sussex,127181,129352,100
AL,Indiana,Adams,14154,14238,99
AL,Indiana,Allen,168312,164793,95
AL,Indiana,Bartholomew,36037,36389,95
AL,Indiana,Benton,4100,3137,99
AL,Indiana,Blackford,5283,5193,95
AL,Indiana,Boone,38492,38500,99
AL,Indiana,Brown,8957,8886,99
AL,Indiana,Carroll,9510,9274,95
AL,Indiana,Cass,15146,15247,95
AL,Indiana,Clark,57426,58040,99
AL,Indiana,Clay,12186,7777,99
AL,Indiana,Clinton,12891,12961,99
AL,Indiana,Crawford,4891,4928,95
AL,Indiana,Daviess,11860,11971,99
AL,Indiana,Dearborn,25295,26431,95
AL,Indiana,Decatur,12260,12261,95
AL,Indiana,DeKalb,19493,19656,99
AL,Indiana,Delaware,47949,49722,95
AL,Indiana,Dubois,21588,21805,99
AL,Indiana,Elkhart,74425,73200,99
AL,Indiana,Fayette,10054,10226,95
AL,Indiana,Floyd,41589,41239,95
AL,Indiana,Fountain,7952,8039,95
AL,Indiana,Franklin,11822,12018,98
AL,Indiana,Fulton,9123,9110,99
AL,Indiana,Gibson,16130,16165,99
AL,Indiana,Grant,27021,27160,95
AL,Indiana,Greene,14694,14726,99
AL,Indiana,Hamilton,193584,172767,95
AL,Indiana,Hancock,42809,39869,95
AL,Indiana,Harrison,20199,19914,95
AL,Indiana,Hendricks,88122,88430,99
AL,Indiana,Henry,21160,18244,99
AL,Indiana,Howard,40547,40619,99
AL,Indiana,Huntington,17731,17215,95
AL,Indiana,Jackson,19136,18857,95
AL,Indiana,Jasper,15371,14355,95
AL,Indiana,Jay,8405,8466,99
AL,Indiana,Jefferson,14537,14726,99
AL,Indiana,Jennings,12153,12150,99
AL,Indiana,Johnson,77274,74480,95
AL,Indiana,Knox,15840,16027,99
AL,Indiana,Kosciusko,35658,35846,99
AL,Indiana,LaGrange,10575,10265,95
AL,Indiana,Lake,217232,225350,95
AL,Indiana,LaPorte,48605,48504,95
AL,Indiana,Lawrence,20868,20551,95
AL,Indiana,Madison,51806,57847,90
AL,Indiana,Marion,390854,405857,95
AL,Indiana,Marshall,19804,19925,95
AL,Indiana,Martin,5118,5155,99
AL,Indiana,Miami,14361,14467,95
AL,Indiana,Monroe,62523,65468,95
AL,Indiana,Montgomery,17184,16164,99
AL,Indiana,Morgan,35947,36214,99
